SURFACE add-owned-surface=0
SURFACE surface-bounds=0
SURFACE order-surface=0
SURFACE secondary-owner=0
SURFACE share-owned-window=0
SURFACE parent=43671 child=39971 window=2016 surface=148740311
SURFACE choose-format=0
SURFACE create-context=0
SURFACE attach-other-process-surface=0
SURFACE current-context=0
SURFACE swap-interval=0
SURFACE renderer=NVIDIA GeForce 8600M GT OpenGL Engine
SURFACE mode=ca
SURFACE frame_storage=pool
SURFACE quartzcore_path=/Users/shg/wk2/runs/20260923-204111-surface-ca-pool-94f68ad825/bin/../Frameworks/QuartzCore.framework/Versions/A/QuartzCore
SURFACE overlay=opaque-magenta rect=40,40,200,72 above=fresh-video-image
SURFACE FRAME id=108 allocation_ms=0.003 memcpy_ms=2.206 image_ms=0.012 transaction_ms=0.079 render_ms=14.251 flush_ms=3.780 total_ms=20.352
SURFACE FRAME id=109 allocation_ms=0.002 memcpy_ms=2.109 image_ms=0.012 transaction_ms=0.078 render_ms=14.499 flush_ms=3.799 total_ms=20.520
SURFACE FRAME id=110 allocation_ms=0.112 memcpy_ms=2.063 image_ms=0.012 transaction_ms=0.088 render_ms=14.362 flush_ms=3.762 total_ms=20.420
SURFACE FRAME id=111 allocation_ms=0.003 memcpy_ms=2.392 image_ms=0.011 transaction_ms=0.075 render_ms=14.531 flush_ms=3.749 total_ms=20.781
SURFACE FRAME id=112 allocation_ms=0.003 memcpy_ms=2.110 image_ms=0.012 transaction_ms=0.078 render_ms=14.698 flush_ms=3.791 total_ms=20.711
SURFACE FRAME id=113 allocation_ms=0.003 memcpy_ms=2.201 image_ms=0.013 transaction_ms=0.078 render_ms=14.077 flush_ms=3.735 total_ms=20.127
SURFACE FRAME id=114 allocation_ms=0.001 memcpy_ms=2.241 image_ms=0.010 transaction_ms=0.078 render_ms=15.223 flush_ms=3.732 total_ms=21.303
SURFACE FRAME id=115 allocation_ms=0.004 memcpy_ms=2.169 image_ms=0.011 transaction_ms=0.075 render_ms=14.706 flush_ms=3.779 total_ms=20.764
SURFACE FRAME id=116 allocation_ms=0.001 memcpy_ms=2.102 image_ms=0.012 transaction_ms=0.076 render_ms=14.482 flush_ms=3.742 total_ms=20.435
SURFACE FRAME id=117 allocation_ms=0.002 memcpy_ms=2.131 image_ms=0.012 transaction_ms=0.077 render_ms=14.539 flush_ms=3.774 total_ms=20.557
