SURFACE add-owned-surface=0
SURFACE surface-bounds=0
SURFACE order-surface=0
SURFACE secondary-owner=0
SURFACE share-owned-window=0
SURFACE parent=43667 child=39967 window=2015 surface=147787958
SURFACE choose-format=0
SURFACE create-context=0
SURFACE attach-other-process-surface=0
SURFACE current-context=0
SURFACE swap-interval=0
SURFACE renderer=NVIDIA GeForce 8600M GT OpenGL Engine
SURFACE mode=ca
SURFACE frame_storage=malloc
SURFACE quartzcore_path=/Users/shg/wk2/runs/20260923-204030-surface-ca-malloc-dc42a1c31b/bin/../Frameworks/QuartzCore.framework/Versions/A/QuartzCore
SURFACE overlay=opaque-magenta rect=40,40,200,72 above=fresh-video-image
SURFACE FRAME id=92 allocation_ms=0.022 memcpy_ms=11.014 image_ms=0.014 transaction_ms=0.078 render_ms=14.802 flush_ms=3.741 total_ms=29.690
SURFACE FRAME id=93 allocation_ms=0.024 memcpy_ms=10.819 image_ms=0.013 transaction_ms=0.080 render_ms=14.474 flush_ms=3.751 total_ms=29.174
SURFACE FRAME id=94 allocation_ms=0.021 memcpy_ms=11.265 image_ms=0.013 transaction_ms=0.079 render_ms=14.658 flush_ms=3.820 total_ms=29.870
SURFACE FRAME id=95 allocation_ms=0.021 memcpy_ms=10.913 image_ms=0.013 transaction_ms=0.078 render_ms=14.582 flush_ms=3.700 total_ms=29.322
SURFACE FRAME id=96 allocation_ms=0.024 memcpy_ms=11.169 image_ms=0.014 transaction_ms=0.077 render_ms=14.446 flush_ms=3.799 total_ms=29.543
SURFACE FRAME id=97 allocation_ms=0.023 memcpy_ms=11.271 image_ms=0.012 transaction_ms=0.078 render_ms=14.568 flush_ms=3.766 total_ms=29.730
SURFACE FRAME id=98 allocation_ms=0.021 memcpy_ms=11.165 image_ms=0.014 transaction_ms=0.077 render_ms=14.235 flush_ms=3.830 total_ms=29.354
SURFACE FRAME id=99 allocation_ms=0.024 memcpy_ms=11.123 image_ms=0.013 transaction_ms=0.077 render_ms=14.708 flush_ms=3.718 total_ms=29.678
SURFACE FRAME id=100 allocation_ms=0.023 memcpy_ms=10.739 image_ms=0.011 transaction_ms=0.075 render_ms=14.423 flush_ms=3.711 total_ms=28.995
SURFACE FRAME id=101 allocation_ms=0.021 memcpy_ms=10.951 image_ms=0.014 transaction_ms=0.079 render_ms=14.520 flush_ms=3.732 total_ms=29.331
SURFACE FRAME id=102 allocation_ms=0.023 memcpy_ms=11.432 image_ms=0.014 transaction_ms=0.078 render_ms=14.782 flush_ms=3.896 total_ms=30.239
SURFACE FRAME id=103 allocation_ms=0.022 memcpy_ms=11.073 image_ms=0.012 transaction_ms=0.079 render_ms=14.620 flush_ms=3.935 total_ms=29.754
SURFACE FRAME id=104 allocation_ms=0.021 memcpy_ms=11.225 image_ms=0.010 transaction_ms=0.076 render_ms=14.754 flush_ms=3.775 total_ms=29.874
SURFACE FRAME id=105 allocation_ms=0.026 memcpy_ms=11.275 image_ms=0.014 transaction_ms=0.080 render_ms=14.564 flush_ms=3.745 total_ms=29.718
SURFACE FRAME id=106 allocation_ms=0.022 memcpy_ms=11.155 image_ms=0.014 transaction_ms=0.078 render_ms=14.294 flush_ms=3.823 total_ms=29.400
SURFACE FRAME id=107 allocation_ms=0.022 memcpy_ms=11.394 image_ms=0.013 transaction_ms=0.078 render_ms=14.717 flush_ms=3.743 total_ms=29.981
SURFACE FRAME id=108 allocation_ms=0.098 memcpy_ms=10.738 image_ms=0.013 transaction_ms=0.076 render_ms=14.256 flush_ms=3.761 total_ms=28.954
SURFACE FRAME id=109 allocation_ms=0.022 memcpy_ms=11.117 image_ms=0.010 transaction_ms=0.075 render_ms=15.801 flush_ms=3.860 total_ms=30.898
SURFACE FRAME id=110 allocation_ms=0.022 memcpy_ms=11.315 image_ms=0.012 transaction_ms=0.078 render_ms=15.164 flush_ms=3.821 total_ms=30.425
SURFACE FRAME id=111 allocation_ms=0.023 memcpy_ms=11.213 image_ms=0.011 transaction_ms=0.076 render_ms=14.728 flush_ms=3.794 total_ms=29.858
SURFACE FRAME id=112 allocation_ms=0.024 memcpy_ms=11.141 image_ms=0.011 transaction_ms=0.074 render_ms=14.967 flush_ms=3.724 total_ms=29.955
SURFACE FRAME id=113 allocation_ms=0.022 memcpy_ms=11.305 image_ms=0.010 transaction_ms=0.075 render_ms=14.491 flush_ms=3.727 total_ms=29.643
SURFACE FRAME id=114 allocation_ms=0.024 memcpy_ms=11.154 image_ms=0.014 transaction_ms=0.079 render_ms=14.327 flush_ms=3.707 total_ms=29.318
SURFACE FRAME id=115 allocation_ms=0.022 memcpy_ms=11.146 image_ms=0.014 transaction_ms=0.079 render_ms=14.750 flush_ms=3.833 total_ms=29.856
SURFACE FRAME id=116 allocation_ms=0.021 memcpy_ms=11.071 image_ms=0.014 transaction_ms=0.077 render_ms=14.493 flush_ms=3.739 total_ms=29.427
SURFACE FRAME id=117 allocation_ms=0.025 memcpy_ms=10.902 image_ms=0.013 transaction_ms=0.077 render_ms=14.929 flush_ms=3.768 total_ms=29.726
SURFACE FRAME id=118 allocation_ms=0.022 memcpy_ms=11.292 image_ms=0.013 transaction_ms=0.079 render_ms=15.370 flush_ms=4.345 total_ms=31.134
SURFACE FRAME id=119 allocation_ms=0.024 memcpy_ms=11.126 image_ms=0.013 transaction_ms=0.078 render_ms=14.637 flush_ms=3.747 total_ms=29.636
SURFACE FRAME id=120 allocation_ms=0.023 memcpy_ms=11.217 image_ms=0.013 transaction_ms=0.078 render_ms=14.533 flush_ms=3.853 total_ms=29.730
SURFACE FRAME id=121 allocation_ms=0.022 memcpy_ms=11.423 image_ms=0.013 transaction_ms=0.078 render_ms=14.459 flush_ms=3.815 total_ms=29.823
